Key,English,Russian
Menu.tetris,TETRIX,ТЕТРИКС
Menu.tetris1,Tetrix,Тетрикс
Menu.snake,SNAKE,ЗМЕЙКА
Menu.snake1,Snake,Змейка
Menu.checkers,CHINESE CHECKERS,КИТАЙСКИЕ ШАШКИ
Menu.lines98,LINES,ЛИНИИ
Menu.blocks,BLOCKS,БЛОКИ
Menu.settings,Settings,Настройки
Settings.theme,Theme,Тема
Settings.light,Light,Светлая
Settings.dark,Dark,Темная
Settings.language,Language,Язык
Settings.english,English,Английский
Settings.russian,Russian,Русский
Settings.automatically,Automatically,Автоматически
Settings.ads,Advertising,Реклама
Settings.removeads,Remove ADS,Удалить рекламу
Settings.addads,Add ADS,Добавить рекламу
Settings.restoreinapp,Restore In-App,Восстановить
Settings.about,About the game,Об игре
Settings.privacypolicy,Privacy Policy,Политика конфиденциальности
Settings.support,Support,Поддержка
Pause.resume,Resume,Продолжить
Pause.again,Again,Заново
Pause.home,Home,Домой
Tetris.next,Next,Следующая
Tetris.score,Score,Очки
Tetris.record,Record,Рекорд
Tetris.edutext1,Move the figure all the way to the right,Переместите фигуру до упора вправо
Tetris.edutext2,Move the figure all the way to the left,Переместите фигуру до упора влево
Tetris.edutext3,Tap the screen to rotate the figure,"Нажмите на экран, чтобы повернуть фигуру"
Tetris.edutext4,Move the figure all the way down,Переместите фигуру до упора вниз
Tetris.edutext5,Drag down fast to instantly lower the figure,"Быстро потяните вниз, чтобы мгновенно опустить фигуру"
2048.gameover,Game Over!,Конец игры!
2048.again,Try Again!,Попробуй еще!
2048.maximum,Maximum,Максимум
2048.edutext1,Swipe to move all tiles,"Проведите пальцем, чтобы переместить все плитки"
2048.edutext2,"When two tiles with the same number touch, they merge into one!","Когда две плитки с одинаковыми числами соприкасаются, они соединяются в одну!"
Lines98.edutext,Collect lines of 5 or more balls of the same color!,Собери линии из 5 и более шаров одного цвета!
Lines98.play,Play,Играть
Сheckers.warning,Include at least two players!,Включите минимум двух игроков!
Сheckers.steps,Moves,Ходы
Сheckers.robot,Robot,Робот
Сheckers.player,Player,Игрок
Сheckers.none,Empty,Пусто
Сheckers.edutext1,The goal of the game is to be the first to move all your pieces to the opposite corner,Цель игры — первым переместить все свои фишки в противоположный угол
Сheckers.edutext2,"A piece can move to an adjacent cell, or through a piece","Фишка может ходить на соседнюю клетку, либо через фишку"
Сheckers.edutext3,You can make a chain of jumps in one move,Можно делать цепочку прыжков за один ход
Сheckers.edutext4,Change the composition of players by clicking on the icon,Меняй состав игроков по клику на иконку
Сheckers.edutext5,Change colors with a click,Меняй цвета по клику
Snake.manyfood,Lots of food,Много еды
Snake.movewalls,Move through walls,Двигаться сквозь стены
Snake.speed,Speed,Скорость
Snake.acceleration,Acceleration,Ускорение
Snake.edutext1,Collect food and don't get on their tail,Соберайте еду и не наезжайте на хвост
Blocks.repeat,Repeat,Повторить
Blocks.edufin,Training completed!,Обучение пройдено!
Blocks.edutext,Collect lines and squares!,Собирай линии и квадраты!
Edu.hint,Hint button,Кнопка подсказки
Edu.undo,Undo button,Кнопка шаг назад
Edu.settings,Change additional settings,Меняй дополнительные настройки
Edu.speed,Speed ​​button,Кнопка скорости
Edu.tap,Click on the screen to continue,"Нажми на экран, чтобы продолжить"
Edu.change,Button to change shapes,Кнопка смены фигур
Chance.skip,Skip,Пропустить
Chance.title,Second chance,Второй шанс
Chance.watch,Watch,Смотреть
Chance.continue,Continue,Продолжить
Chance.ball,Select a ball to remove,Выбери шарик для удаления